年月,SKU,固定費,変動費-材料費,変動費-委託費
2023-01,SKU001,10000,5000,2000
2023-01,SKU002,12000,6000,2500
2023-01,SKU003,8000,4000,1500
2023-01,SKU004,9000,4500,1800
2023-01,SKU005,11000,5500,2200
2023-01,SKU006,13000,6500,2800
2023-01,SKU007,9500,4800,1900
2023-01,SKU008,12500,6300,2700
2023-01,SKU009,7500,3800,1400
2023-01,SKU010,14000,7000,3000
2023-02,SKU001,10000,5200,2100
2023-02,SKU002,12000,6200,2600
2023-02,SKU003,8000,4200,1600
2023-02,SKU004,9000,4700,1900
2023-02,SKU005,11000,5700,2300
2023-02,SKU006,13000,6700,2900
2023-02,SKU007,9500,5000,2000
2023-02,SKU008,12500,6500,2800
2023-02,SKU009,7500,4000,1500
2023-02,SKU010,14000,7200,3100
2023-03,SKU001,10000,5400,2200
2023-03,SKU002,12000,6400,2700
2023-03,SKU003,8000,4400,1700
2023-03,SKU004,9000,4900,2000
2023-03,SKU005,11000,5900,2400
2023-03,SKU006,13000,6900,3000
2023-03,SKU007,9500,5200,2100
2023-03,SKU008,12500,6700,2900
2023-03,SKU009,7500,4200,1600
2023-03,SKU010,14000,7400,3200
2023-04,SKU001,10000,5600,2300
2023-04,SKU002,12000,6600,2800
2023-04,SKU003,8000,4600,1800
2023-04,SKU004,9000,5100,2100
2023-04,SKU005,11000,6100,2500
2023-04,SKU006,13000,7100,3100
2023-04,SKU007,9500,5400,2200
2023-04,SKU008,12500,6900,3000
2023-04,SKU009,7500,4400,1700
2023-04,SKU010,14000,7600,3300
2023-05,SKU001,10000,5800,2400
2023-05,SKU002,12000,6800,2900
2023-05,SKU003,8000,4800,1900
2023-05,SKU004,9000,5300,2200
2023-05,SKU005,11000,6300,2600
2023-05,SKU006,13000,7300,3200
2023-05,SKU007,9500,5600,2300
2023-05,SKU008,12500,7100,3100
2023-05,SKU009,7500,4600,1800
2023-05,SKU010,14000,7800,3400
2023-06,SKU001,10000,6000,2500
2023-06,SKU002,12000,7000,3000
2023-06,SKU003,8000,5000,2000
2023-06,SKU004,9000,5500,2300
2023-06,SKU005,11000,6500,2700
2023-06,SKU006,13000,7500,3300
2023-06,SKU007,9500,5800,2400
2023-06,SKU008,12500,7300,3200
2023-06,SKU009,7500,4800,1900
2023-06,SKU010,14000,8000,3500
2023-07,SKU001,10000,6200,2600
2023-07,SKU002,12000,7200,3100
2023-07,SKU003,8000,5200,2100
2023-07,SKU004,9000,5700,2400
2023-07,SKU005,11000,6700,2800
2023-07,SKU006,13000,7700,3400
2023-07,SKU007,9500,6000,2500
2023-07,SKU008,12500,7500,3300
2023-07,SKU009,7500,5000,2000
2023-07,SKU010,14000,8200,3600
2023-08,SKU001,10000,6400,2700
2023-08,SKU002,12000,7400,3200
2023-08,SKU003,8000,5400,2200
2023-08,SKU004,9000,5900,2500
2023-08,SKU005,11000,6900,2900
2023-08,SKU006,13000,7900,3500
2023-08,SKU007,9500,6200,2600
2023-08,SKU008,12500,7700,3400
2023-08,SKU009,7500,5200,2100
2023-08,SKU010,14000,8400,3700
2023-09,SKU001,10000,6600,2800
2023-09,SKU002,12000,7600,3300
2023-09,SKU003,8000,5600,2300
2023-09,SKU004,9000,6100,2600
2023-09,SKU005,11000,7100,3000
2023-09,SKU006,13000,8100,3600
2023-09,SKU007,9500,6400,2700
2023-09,SKU008,12500,7900,3500
2023-09,SKU009,7500,5400,2200
2023-09,SKU010,14000,8600,3800
2023-10,SKU001,10000,6800,2900
2023-10,SKU002,12000,7800,3400
2023-10,SKU003,8000,5800,2400
2023-10,SKU004,9000,6300,2700
2023-10,SKU005,11000,7300,3100
2023-10,SKU006,13000,8300,3700
2023-10,SKU007,9500,6600,2800
2023-10,SKU008,12500,8100,3600
2023-10,SKU009,7500,5600,2300
2023-10,SKU010,14000,8800,3900
2023-11,SKU001,10000,7000,3000
2023-11,SKU002,12000,8000,3500
2023-11,SKU003,8000,6000,2500
2023-11,SKU004,9000,6500,2800
2023-11,SKU005,11000,7500,3200
2023-11,SKU006,13000,8500,3800
2023-11,SKU007,9500,6800,2900
2023-11,SKU008,12500,8300,3700
2023-11,SKU009,7500,5800,2400
2023-11,SKU010,14000,9000,4000
2023-12,SKU001,10000,7200,3100
2023-12,SKU002,12000,8200,3600
2023-12,SKU003,8000,6200,2600
2023-12,SKU004,9000,6700,2900
2023-12,SKU005,11000,7700,3300
2023-12,SKU006,13000,8700,3900
2023-12,SKU007,9500,7000,3000
2023-12,SKU008,12500,8500,3800
2023-12,SKU009,7500,6000,2500
2023-12,SKU010,14000,9200,4100
2024-01,SKU001,10000,7400,3200
2024-01,SKU002,12000,8400,3700
2024-01,SKU003,8000,6400,2700
2024-01,SKU004,9000,6900,3000
2024-01,SKU005,11000,7900,3400
2024-01,SKU006,13000,8900,4000
2024-01,SKU007,9500,7200,3100
2024-01,SKU008,12500,8700,3900
2024-01,SKU009,7500,6200,2600
2024-01,SKU010,14000,9400,4200
2024-02,SKU001,10000,7600,3300
2024-02,SKU002,12000,8600,3800
2024-02,SKU003,8000,6600,2800
2024-02,SKU004,9000,7100,3100
2024-02,SKU005,11000,8100,3500
2024-02,SKU006,13000,9100,4100
2024-02,SKU007,9500,7400,3200
2024-02,SKU008,12500,8900,4000
2024-02,SKU009,7500,6400,2700
2024-02,SKU010,14000,9600,4300
2024-03,SKU001,10000,7800,3400
2024-03,SKU002,12000,8800,3900
2024-03,SKU003,8000,6800,2900
2024-03,SKU004,9000,7300,3200
2024-03,SKU005,11000,8300,3600
2024-03,SKU006,13000,9300,4200
2024-03,SKU007,9500,7600,3300
2024-03,SKU008,12500,9100,4100
2024-03,SKU009,7500,6600,2800
2024-03,SKU010,14000,9800,4400
2024-04,SKU001,10000,8000,3500
2024-04,SKU002,12000,9000,4000
2024-04,SKU003,8000,7000,3000
2024-04,SKU004,9000,7500,3300
2024-04,SKU005,11000,8500,3700
2024-04,SKU006,13000,9500,4300
2024-04,SKU007,9500,7800,3400
2024-04,SKU008,12500,9300,4200
2024-04,SKU009,7500,6800,2900
2024-04,SKU010,14000,10000,4500
2024-05,SKU001,10000,8200,3600
